system:index,area_km2,classe,year,.geo
39_0_0,105.66819690606614,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_1,225.23586894183273,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_2,363.74738273956285,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_3,38.04194360797125,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_4,341.29700227820865,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_5,522.4892645841122,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_6,186.35009743579047,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_7,1067.0345451569829,8,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_8,1622.5863199870655,9,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_9,3754.536941832521,10,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_10,1678.150364975704,11,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_11,226.9834930120128,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
